"year" "country" "growth" "lagg1" "opengdp" "openex" "openimp" "leftc" "central" "inter"
1970 "AUL" 6.1 3.957143 101.64 178.64 178.64 0 1.768656 0
1971 "AUL" 5.6 4.22868 109.15 115.05 179.95 0 1.768656 0
1972 "AUL" 3.6 3.439569 151.2 72.8 156.8 0 1.768656 0
1973 "AUL" 5.4 4.182281 165.3 295.8 232 100 1.768656 176.8656
1974 "AUL" 1.6 5.094291 26.4 778.8 382.8 100 1.768656 176.8656
1975 "AUL" 2.3 4.211284 -9.06 217.44 323.14 83 1.768656 146.7985
1976 "AUL" 3.1 0.7912467 145.92 200.64 243.2 0 1.768656 0
1977 "AUL" 1.1 3.77885 106.42 181.54 247.27 0 1.768656 0
1978 "AUL" 2.6 1.945579 129.2 109.82 248.71 0 1.768656 0
1979 "AUL" 4.2 2.63917 109.43 370.65 300.05 0 1.768656 0
1980 "AUL" 1.5 3.479129 47.84 430.56 364.32 0 1.768656 0
1981 "AUL" 4.1 2.403933 55.36 318.32 318.32 0 1.768656 0
1982 "AUL" 0 2.687684 -6.9 234.6 265.65 0 1.768656 0
1983 "AUL" 0.7 2.011583 81.81 139.38 172.71 75 1.768656 132.6492
1984 "AUL" 7.1 1.566473 150.4 192 169.6 100 1.768656 176.8656
1971 "AUS" 5.1 4.430977 233.47 246.09 384.91 100 3.186632 318.6632
1972 "AUS" 6.2 5.049266 336.96 162.24 349.44 100 3.186632 318.6632
1973 "AUS" 4.9 5.190183 367.08 656.88 515.2 100 3.186632 318.6632
1974 "AUS" 3.9 4.700927 56.72 1673.24 822.44 100 3.186632 318.6632
1975 "AUS" -0.4 3.952552 -20.01 480.24 713.69 100 3.186632 318.6632
1976 "AUS" 4.6 0.3914167 340.32 467.94 567.2 100 3.186632 318.6632
1977 "AUS" 4.4 4.984243 243.78 415.86 566.43 100 3.186632 318.6632
1978 "AUS" 0.5 3.093116 280 238 539 100 3.186632 318.6632
1979 "AUS" 4.8 3.680793 230.95 782.25 633.25 100 3.186632 318.6632
1980 "AUS" 3.2 2.530807 103.09 927.81 785.07 100 3.186632 318.6632
1981 "AUS" -0.01 2.917973 135.2 777.4 777.4 100 3.186632 318.6632
1982 "AUS" 1.1 1.433556 -16.1 547.4 619.85 100 3.186632 318.6632
1983 "AUS" 2.1 2.080618 198.18 337.64 418.38 88 3.186632 280.4236
1984 "AUS" 2 2.322733 363.31 463.8 409.69 80 3.186632 254.9306
1970 "BEL" 6.4 5.786636 334.29 587.54 587.54 44 2.766391 121.7212
1971 "BEL" 2.3 5.533859 366.67 386.49 604.51 44 2.766391 121.7212
1972 "BEL" 5.3 3.926453 532.98 256.62 552.72 47 2.766391 130.0204
1973 "BEL" 6.2 4.017033 621.3 1111.8 872 44 2.766391 121.7212
1974 "BEL" 4.5 5.783256 97.6 2879.2 1415.2 15 2.766391 41.49587
1975 "BEL" -1.9 4.471414 -32.1 770.4 1144.9 0 2.766391 0
1976 "BEL" 5.7 -2.40641 545.76 750.42 909.6 0 2.766391 0
1977 "BEL" 0.7 4.71946 381.82 651.34 887.17 23 2.766391 63.62699
1978 "BEL" 3 3.482299 434.8 369.58 836.99 40 2.766391 110.6556
1979 "BEL" 2.4 3.834661 374.17 1267.35 1025.95 35 2.766391 96.82369
1980 "BEL" 3 4.145752 168.09 1512.81 1280.07 41 2.766391 113.422
1981 "BEL" -1.8 0.5119148 224.64 1291.68 1291.68 47 2.766391 130.0204
1982 "BEL" 1.9 -0.0899608 -29.5 1003 1135.75 0 2.766391 0
1983 "BEL" -0.3 -0.517919 400.41 682.18 845.31 0 2.766391 0
1984 "BEL" 1.7 -0.45332 736.02 939.6 829.98 0 2.766391 0
1970 "CAN" 2.6 5.143118 144.87 254.62 254.62 0 0.981663 0
1971 "CAN" 7 4.499167 158.36 166.92 261.08 0 0.981663 0
1972 "CAN" 5.8 2.979793 236.52 113.88 245.28 0 0.981663 0
1973 "CAN" 7.5 5.745583 263.34 471.24 369.6 0 0.981663 0
1974 "CAN" 3.5 4.232567 40.32 1189.44 584.64 0 0.981663 0
1975 "CAN" 1.1 3.263799 -14.43 346.32 514.67 0 0.981663 0
1976 "CAN" 5.8 1.256388 221.76 304.92 369.6 0 0.981663 0
1977 "CAN" 2.4 3.865761 95.54 162.98 221.99 0 0.981663 0
1978 "CAN" 3.9 4.122165 205.6 174.76 395.78 0 0.981663 0
1979 "CAN" 3.2 3.543336 171.43 580.65 470.05 0 0.981663 0
1980 "CAN" 0.5 3.109133 73.97 665.73 563.31 0 0.981663 0
1981 "CAN" 3.8 1.765213 88.16 506.92 506.92 0 0.981663 0
1982 "CAN" -0.6 1.659261 -9.68 329.12 372.68 0 0.981663 0
1983 "CAN" 2.9 2.644781 129.6 220.8 273.6 0 0.981663 0
1984 "CAN" 4.8 1.965143 252.39 322.2 284.61 0 0.981663 0
1970 "DEN" 2.3 3.141193 194.04 341.04 341.04 0 2.806727 0
1971 "DEN" 2.4 5.905519 210.9 222.3 347.7 25 2.806727 70.16818
1972 "DEN" 5.4 3.300568 289.44 139.36 300.16 100 2.806727 280.6727
1973 "DEN" 3.8 3.672399 335.73 600.78 471.2 100 2.806727 280.6727
1974 "DEN" -0.7 6.464681 53.2 1569.4 771.4 0 2.806727 0
1975 "DEN" -1 3.664384 -18.33 439.92 653.77 92 2.806727 258.2189
1976 "DEN" 6.5 -2.07536 299.04 411.18 498.4 100 2.806727 280.6727
1977 "DEN" 2.3 6.351389 208.42 355.54 484.27 100 2.806727 280.6727
1978 "DEN" 1.8 3.20094 230.8 196.18 444.29 89 2.806727 249.7987
1979 "DEN" 3.7 1.849392 190.03 643.65 521.05 72 2.806727 202.0844
1980 "DEN" -1.1 3.035395 86.45 778.05 658.35 100 2.806727 280.6727
1981 "DEN" 0.1 1.60285 112.96 649.52 649.52 100 2.806727 280.6727
1982 "DEN" 3 0.7080916 -14.16 481.44 545.16 75 2.806727 210.5045
1984 "DEN" 3.5 0.5640423 345.45 441 389.55 0 2.806727 0
1970 "FIN" 7.9 3.237043 176.88 310.88 310.88 51 2.797666 142.681
1971 "FIN" 1.8 5.885212 195.73 206.31 322.69 42 2.797666 117.502
1972 "FIN" 7.5 3.035557 273.24 131.56 283.36 74 2.797666 207.0273
1973 "FIN" 6.5 2.771644 299.82 536.52 420.8 43 2.797666 120.2996
1974 "FIN" 3.2 5.920828 48 1416 696 43 2.797666 120.2996
1975 "FIN" 0.6 2.576609 -16.41 393.84 585.29 40 2.797666 111.9066
1976 "FIN" 0.3 0.3669464 257.76 354.42 429.6 38 2.797666 106.3113
1977 "FIN" 0.4 4.152027 192.78 328.86 447.93 31 2.797666 86.72764
1978 "FIN" 2.3 2.560733 230.8 196.18 444.29 47 2.797666 131.4903
1981 "FIN" 1.3 1.814465 108.16 621.92 621.92 45 2.797666 125.895
1982 "FIN" 3 0.8338996 -12.66 430.44 487.41 43 2.797666 120.2996
